"","x"
"1","Amazona lilacina"
"2","Ardea alba"
"3","Ardenna grisea"
"4","Ardenna pacifica"
"5","Atticora tibialis"
"6","Cacicus oseryi"
"7","Calidris subruficollis"
"8","Calidris virgata"
"9","Cantorchilus leucotis"
"10","Catharus maculatus"
"11","Charadrius nivosus"
"12","Chlorostilbon notatus"
"13","Chrysocorypha delatrii"
"14","Clibanornis rubiginosus"
"15","Corydospiza alaudina"
"16","Dives warczewiczi"
"17","Euscarthmus fulviceps"
"18","Frederickena unduliger"
"19","Gallinago delicata"
"20","Gallinula galeata"
"21","Gelochelidon nilotica"
"22","Geospiza acutirostris"
"23","Geospiza propinqua"
"24","Geospiza septentrionalis"
"25","Geothlypis philadelphia"
"26","Geranoaetus albicaudatus"
"27","Hapalocrex flaviventer"
"28","Hydrobates castro"
"29","Hydrobates homochroa"
"30","Hydrobates leucorhous"
"31","Hydrobates melania"
"32","Hydrobates microsoma"
"33","Hydrobates tethys"
"34","Hydroprogne caspia"
"35","Hydropsalis maculicaudus"
"36","Icterus chrysocephalus"
"37","Islerothraupis cristata"
"38","Islerothraupis luctuosa"
"39","Larus smithsonianus"
"40","Leiothlypis peregrina"
"41","Leistes bellicosus"
"42","Leistes militaris"
"43","Nannopterum brasilianus"
"44","Onychoprion anaethetus"
"45","Onychoprion fuscatus"
"46","Paraclaravis mondetoura"
"47","Parkesia noveboracensis"
"48","Pheugopedius coraya"
"49","Phyllaemulor bracteatus"
"50","Piezorina cinerea"
"51","Porphyrio martinicus"
"52","Puffinus subalaris"
"53","Rhynchocyclus aequinoctialis"
"54","Schiffornis veraepacis"
"55","Setophaga castanea"
"56","Setophaga pensylvanica"
"57","Setophaga petechia"
"58","Setophaga striata"
"59","Spatula clypeata"
"60","Spatula cyanoptera"
"61","Spatula discors"
"62","Spinus psaltria"
"63","Sporophila angolensis"
"64","Sporophila atrirostris"
"65","Sporophila funerea"
"66","Sternula antillarum"
"67","Tangara episcopus"
"68","Thalasseus elegans"
"69","Thalasseus maximus"
"70","Thalasseus sandvicensis"
"71","Tringa incana"
"72","Tringa semipalmata"
"73","Vireo chivi"
